topo,guest,T,n_frames,diff,family
shp,ciprofloxacin,1500,400,0.1483369706679198,Pharmaceutical
shp,clofibric-acid,300,1200,-0.9267876058143364,Pharmaceutical
shp,clofibric-acid,600,400,-0.7469998589545597,Pharmaceutical
shp,clofibric-acid,900,400,-2.314562515620473,Pharmaceutical
shp,clofibric-acid,1200,400,-2.3452038045572365,Pharmaceutical
shp,clofibric-acid,1500,400,-3.6338698639282008,Pharmaceutical
shp,diclofenac,300,1200,-0.4909383324303675,Pharmaceutical
shp,diclofenac,600,400,2.4269557421506605,Pharmaceutical
shp,diclofenac,900,400,0.5272460321528101,Pharmaceutical
shp,diclofenac,1200,400,1.3636283442100776,Pharmaceutical
shp,diclofenac,1500,400,-2.023260055585361,Pharmaceutical
shp,estrone,300,1200,-1.2800566290498523,Pharmaceutical
shp,estrone,600,400,0.6497484367573989,Pharmaceutical
shp,estrone,900,400,1.982503313545557,Pharmaceutical
shp,estrone,1200,400,0.4636730446421637,Pharmaceutical
shp,estrone,1500,400,-4.158674884044423,Pharmaceutical
shp,gemfibrozil,300,1200,-2.944243198557181,Pharmaceutical
shp,gemfibrozil,600,400,-0.7811112753968708,Pharmaceutical
shp,gemfibrozil,900,400,2.558048751847771,Pharmaceutical
shp,gemfibrozil,1200,400,0.2910891068498813,Pharmaceutical
shp,gemfibrozil,1500,400,1.1409503231014817,Pharmaceutical
shp,ibuprofen,300,1200,-0.6163963066990235,Pharmaceutical
shp,ibuprofen,600,400,0.4264240807077755,Pharmaceutical
shp,ibuprofen,900,400,-0.4381522333637129,Pharmaceutical
shp,ibuprofen,1200,400,-0.6006395432102103,Pharmaceutical
shp,ibuprofen,1500,400,-0.2630519824064521,Pharmaceutical
shp,ketoprofen,300,1200,0.682805637188153,Pharmaceutical
shp,ketoprofen,600,400,0.4001753583312606,Pharmaceutical
shp,ketoprofen,900,400,-0.4111818749891185,Pharmaceutical
shp,ketoprofen,1200,400,-5.141348485960304,Pharmaceutical
shp,ketoprofen,1500,400,-2.866237492511644,Pharmaceutical
shp,naproxen,300,1200,-0.8420361727143337,Pharmaceutical
shp,naproxen,600,400,0.1063816855310797,Pharmaceutical
shp,naproxen,900,400,-2.9742946284527214,Pharmaceutical
